Name of the property,Latitude,Longitude
Silken Al-Andalus Palace,37.354118119334174,-5.980223715305328
Palacio de Arce,43.41592912996776,-3.938000340475469
Casa bascara,42.1603264,2.9101616
Hotel Ventus,28.0466508,-16.5384637
Agroturisme Es Racó De Maria,39.67458063351799,3.0964978201293434
Casa Rodriguillo,38.366088490043,-1.047007020068
Hotel Caribe,39.00014259285203,1.5768760442733765
Hotel de Francia y París,36.5344136140381,-6.296206712722778
Hotel Roquiño,42.60507,-8.643477
Atico en playa muchavista san juan Estrella,38.38870263356243,-0.409692130649546
S'Hort de Son Caulelles - Adults Only,39.62148689434292,2.759740948677063
Hotel Mirador Arabeluj,37.169620870175514,-3.5858474263659446
Lopesan Baobab Resort,27.74099780000001,-15.599462980812064
Agroturismo Son Fogueró - Adults Only,39.65750074565948,3.0494337471770905
Hotel los Girasoles,37.42325444074771,-6.037231385707855
AC Hotel Zamora by Marriott,41.511833139471044,-5.737081711868086
Grupotel Playa de Palma Suites & Spa,39.513464742957716,2.7543184977548663
Occidental Jandía Playa,28.055459701995765,-14.325528144836426
Las Gaviotas Suites Hotel & Spa,39.81298232972246,3.1148868799209595
Hotel Ceuta Puerta de Africa,35.88835254279848,-5.3154730796813965
Hotel Lleó,41.38570195726838,2.166425585746765
La Villa del Karting,42.625134434864634,-6.603874962707518
B&B HOTEL Granada,37.21209669368215,-3.618943691253662
Agroturismo Ses Illes,39.67910536572951,2.971044928272022
Welikehotel Marfil Playa,39.57638762652701,3.3751371502330585
Hotel Cisneros,40.47129800417275,-3.3663010597229004
Lua Hotel Boutique,27.70255438701509,-17.98138664054489
Hotel & Spa Real Badaguás Jaca,42.58442128839623,-0.46404629945755005
Hotel Zielo Las Beatas,38.73948630780659,-2.7653617207107573
Apartaments Els Llorers,41.707696904521555,2.863534390926361
MYND Yaiza,28.867521,-13.821581
Masia Can Canyes & Spa,41.465835273375355,1.8286550045013428
"Casa Medina - Charming Private Villa with Nature and Sea View, 25 minutes from Malaga",36.773758151391,-4.252070669281
"Casa Rural La Salamandrija- con chimenea, patio y barbacoa",39.148278944811,-6.437811560309
R2 Maryvent Beach Apartments,28.1587052059739,-14.2269496401977
Apartamentos Solmares,37.185793184015274,-7.3403966428668355
Hotel Hacienda del Conde Meliá Collection Golf & Spa - Adults Only,28.369364208851092,-16.858847737312317
Hotel Boutique Bahía de Plentzia,43.404174480657495,-2.9496896266937296
Aparto Residence Galetamar,38.6525693036862,0.0760728120803833
Habitaciones La Cuevona de Guitiriz Lugo,43.15310746002768,-7.836560239124988
Apartamentos Rurales El Tio Pablo Picos de Europa Tresviso,43.25643992602915,-4.668256044387817
Hotel Ciudad de Navalcarnero,40.29396243652391,-3.9773109555244446
Exe Pozuelo,40.39843725861292,-3.788071721792221
Palacio Marques de la Gomera,37.239139362592674,-5.10663628578186
Salles Ciutat del Prat Barcelona Airport,41.325070374060935,2.087152898311615
Casa Mocan,28.9632476,-13.546258557672001
ibis budget Huerta De Murcia,38.0005704,-1.148259
"El Jardín del Convento, Casa Rural",40.273063284595054,-5.856618136167526
Ok Hostel Madrid,40.4111215927952,-3.7067892822090016
LA POSADA DE HIGUERUELA,38.9631,-1.4442
Loop INN Hostel Santiago de Compostela,42.884877,-8.540364
Hotel Maya Alicante,38.35207414204814,-0.4745538532733917
Calallonga Hotel Menorca,39.89448505213821,4.296673536300659
El Cid Country Club,38.793793,-0.020999
Casa Timoteo Apartamentos Boutique Adults Only,38.699004,-0.47307
B&B HOTEL Madrid Tres Cantos,40.625270370114,-3.727642429384
B&B HOTEL Valencia Alcàsser,39.3653954,-0.43000309999999997
"The Club Cala San Miguel Hotel Ibiza, Curio Collection by Hilton, Adults only",39.08169,1.442888
Natura Resorts,42.53681253826607,-2.9151433016356805
Alua Calas de Mallorca Resort,39.466951,3.277414
Casitas Las Pereras,28.663108,-17.902295
Holiday Inn Express Logroño Rioja by IHG,42.459085,-2.465214
Grupotel Montecarlo,39.767898320041766,3.146756887435913
Vincci Resort Costa Golf,36.360225999801514,-6.167777180671692
Gloria Palace Royal Hotel & Spa,27.792185418418345,-15.721634030342102
SLEEP'N Atocha - B Corp Certified,40.40909293241996,-3.6930155754089355
Casa Baños de la Villa,37.43995914472649,-4.190892577171326
Lago Resort Menorca - Casas del Lago Adults Only,39.92709030359298,3.8354408740997314
BS Capitulaciones,37.192792268978614,-3.7219995260238647
HR PARADISE CALA DE LA VILA JOIOSA,38.5230236,-0.1772762
B&B HOTEL Madrid Arganda,40.30989073738711,-3.4812200070155086
Eden Roc Hotel & Spa by Brava Hoteles,41.77211184171232,3.0298662185668945
Ona Alborada,28.009193253709363,-16.6532564163208
Ático en Monzón,41.9118039,0.1920076
Hotel Peruskenea,43.00929177263812,-1.8019723892211914
Mijas Residence,36.5927,-4.63217
La Barbacana,40.187807,-1.240651
Mar do Ézaro - Boutique Hotel,42.908027927959765,-9.126684667901987
Premium Boutique Apartments Javea,38.796928835234,0.115923117197
Grupotel Parc Natural & Spa,39.799362345329556,3.1197255849838257
Playamojácar,37.09859433361721,-1.8512633442878723
La Casa de Carmen,37.386004,-6.054086
Prinsotel La Caleta,39.978090230738616,3.8394373655319214
Hotel Casa Morlans 3000,42.7237259306426,-0.2840191125869751
Apartamentos Playa Azul,28.164266529333,-17.33458087473
Barceló Tenerife,28.030250244922133,-16.59884512424469
Mediterranean Gardens,37.965059684329,-0.7025683386229999
Hotel Las Yucas,37.21593733482087,-3.69068156587673
Dear Hotel Madrid,40.423303245851315,-3.7104914153442223
H10 Casa del Mar,39.51731862799558,2.481662929058075
Hostal Palacio del Corregidor,37.88314099999999,-4.774698599999965
Hostal la Fuente,37.88189066797552,-4.776150584220886
Hotel MedinaSalim,41.17043697301692,-2.4336057901382446
"Hospes Maricel y Spa, Palma de Mallorca, a Member of Design Hotels",39.547346774018564,2.5962375104427338
Hotel Hostal del Sol,41.78534507245773,3.0402302742004395
Sol Arona Tenerife,28.05050776116521,-16.712570786476135
HOTEL DON RAMIRO,37.580386,-4.639103
Hotel Patio de las Cruces,37.38604214596948,-5.988096669316292
La Casa de las Chimeneas,43.119978,-4.6108
Hotel Ruta de la Plata de Asturias,43.158797380824744,-5.8291831612586975
Cas Català,39.6440192,3.0100181
Hotel & Restaurant Jardi d'Artà,39.69498011965885,3.3535900712013245
NAP v,39.47179793115412,-0.35934399018209273
HOTEL LA FONDA DE DON GONZALO,37.1592035576059,-3.5381440426445088
Apartamentos La Harinera,40.4263053414957,-1.52834470779567
Finca el Castillo,28.373548576468615,-16.85566749524287
Fuencarral Adeco,40.42228712646637,-3.700914680957794
Finca la Noguera-Sierra Cazorla,37.825187071278,-3.028864487592
Sumus Hotel Monteplaya & SPA 4Sup - Adults Only,41.63850883844236,2.732127606868744
Alhambra Apartments,38.224363798593686,-0.5212535222068437
La Casa De La Puebla,39.8724688153417,-4.35746848583221
R2 Cala Millor,39.60051317920242,3.38433748663374
Posada y Apartamentos Trebuesto de Guriezo,43.3327511514534,-3.31046015024185
Holiday Rentals Los Salados,37.3935411,-6.0013188
Apartamentos en Leis Muxia,43.115739875328,-9.153846286217
Holiday Inn Express Madrid-Getafe by IHG,40.27120098832126,-3.6969316005706787
Hostal Sanmar,42.27077923377794,2.960911989212036
Apartamentos Torrelaguna,37.198445669492216,-1.818585991859436
Albergue Pension Porta Santa,43.0157238,-7.24586299999999
H10 Playa Esmeralda - Adults Only,28.14738418980552,-14.235239624977112
"Detached Villa, private pool only 10 minutes Los Cristianos",28.083851804219,-16.669730817197
ARTIEM Audax - Adults Only,39.93906546038819,3.9569033682346344
Plea Beach House,43.462619,-3.71981
Apartamentos Turísticos Real Valle Ezcaray,42.32326235255577,-3.0348122119903564
